Detected frames in file "D:/Captured Video\2021-09-22 13-09-45.mp4":
Frame 788 occurred 1 times.
Frame 789 occurred 1 times.
Frame 790 occurred 1 times.
Frame 791 occurred 1 times.
Frame 792 occurred 1 times.
Frame 793 occurred 1 times.
Frame 794 occurred 1 times.
Frame 795 occurred 1 times.
Frame 796 occurred 1 times.
Frame 797 occurred 1 times.
Frame 798 occurred 1 times.
Frame 799 occurred 1 times.
Frame 800 occurred 1 times.
Frame 801 occurred 1 times.
Frame 802 occurred 1 times.
Frame 803 occurred 1 times.
Frame 804 occurred 1 times.
Frame 805 occurred 1 times.
Frame 806 occurred 1 times.
Frame 807 occurred 1 times.
Frame 808 occurred 1 times.
Frame 809 occurred 1 times.
Frame 810 occurred 1 times.
Frame 811 occurred 1 times.
Frame 812 occurred 1 times.
Frame 813 occurred 1 times.
Frame 814 occurred 1 times.
Frame 815 occurred 1 times.
Frame 816 occurred 1 times.
Frame 817 occurred 1 times.
Frame 818 occurred 1 times.
Frame 819 occurred 1 times.
Frame 820 occurred 1 times.
Frame 821 occurred 1 times.
Frame 822 occurred 1 times.
Frame 823 occurred 1 times.
Frame 824 occurred 1 times.
Frame 825 occurred 1 times.
Frame 826 occurred 1 times.
Frame 827 occurred 1 times.
Frame 828 occurred 1 times.
Frame 829 occurred 1 times.
Frame 830 occurred 1 times.
Frame 831 occurred 1 times.
Frame 832 occurred 1 times.
Frame 833 occurred 1 times.
Frame 834 occurred 1 times.
Frame 835 occurred 1 times.
Frame 836 occurred 1 times.
Frame 837 occurred 1 times.
Frame 838 occurred 1 times.
Frame 839 occurred 1 times.
Frame 840 occurred 1 times.
Frame 841 occurred 1 times.
Frame 842 occurred 1 times.
Frame 843 occurred 1 times.
Frame 844 occurred 1 times.
Frame 845 occurred 1 times.
Frame 846 occurred 1 times.
Frame 847 occurred 1 times.
Frame 848 occurred 1 times.
Frame 849 occurred 1 times.
Frame 850 occurred 1 times.
Frame 851 occurred 1 times.
Frame 852 occurred 1 times.
Frame 853 occurred 1 times.
Frame 854 occurred 1 times.
Frame 855 occurred 1 times.
Frame 856 occurred 1 times.
Frame 857 occurred 1 times.
Frame 858 occurred 1 times.
Frame 859 occurred 1 times.
Frame 860 occurred 1 times.
Frame 861 occurred 1 times.
Frame 862 occurred 1 times.
Frame 863 occurred 1 times.
Frame 864 occurred 1 times.
Frame 865 occurred 1 times.
Frame 866 occurred 1 times.
Frame 867 occurred 1 times.
Frame 868 occurred 1 times.
Frame 869 occurred 1 times.
Frame 870 occurred 1 times.
Frame 871 occurred 1 times.
Frame 872 occurred 1 times.
Frame 873 occurred 1 times.
Frame 874 occurred 1 times.
Frame 875 occurred 1 times.
Frame 876 occurred 1 times.
Frame 877 occurred 1 times.
Frame 878 occurred 1 times.
Frame 879 occurred 1 times.
Frame 880 occurred 1 times.
Frame 881 occurred 1 times.
Frame 882 occurred 1 times.
Frame 883 occurred 1 times.
Frame 884 occurred 1 times.
Frame 885 occurred 1 times.
Frame 886 occurred 1 times.
Frame 887 occurred 1 times.
Frame 888 occurred 1 times.
Frame 889 occurred 1 times.
Frame 890 occurred 1 times.
Frame 891 occurred 1 times.
Frame 892 occurred 1 times.
Frame 893 occurred 1 times.
Frame 894 occurred 1 times.
Frame 895 occurred 1 times.
Frame 896 occurred 1 times.
Frame 897 occurred 1 times.
Frame 898 occurred 1 times.
Frame 899 occurred 1 times.
Frame 900 occurred 1 times.
Frame 901 occurred 1 times.
Frame 902 occurred 1 times.
Frame 903 occurred 1 times.
Frame 904 occurred 1 times.
Frame 905 occurred 1 times.
Frame 906 occurred 1 times.
Frame 907 occurred 1 times.
Frame 908 occurred 1 times.
Frame 909 occurred 1 times.
Frame 910 occurred 1 times.
Frame 911 occurred 1 times.
Frame 912 occurred 1 times.
Frame 913 occurred 1 times.
Frame 914 occurred 1 times.
Frame 915 occurred 1 times.
Frame 916 occurred 1 times.
